변수명,Eta² ,검정타입,Cramers_V
OS구분코드,,CramersV,0.032468967
인입횟수_ARS_R6M,,CramersV,0.110708039
이용메뉴건수_ARS_R6M,,CramersV,0.109692395
방문횟수_PC_R6M,,CramersV,0.073536601
방문횟수_앱_R6M,,CramersV,0.073706362
방문일수_PC_R6M,,CramersV,0.080878187
방문월수_모바일웹_R6M,0.005960401,Eta²,
방문일수_모바일웹_R6M,0.005802562,Eta²,
인입후경과월_ARS,0.004136573,Eta²,
IB문의건수_선결제_B0M,0.003649107,Eta²,
IB문의건수_카드발급_R6M,0.003561661,Eta²,
IB문의건수_분실도난_R6M,0.003210777,Eta²,
방문후경과월_모바일웹_R6M,0.003202633,Eta²,
IB문의건수_결제_R6M,0.001417022,Eta²,
IB문의건수_정보변경_R6M,0.000981132,Eta²,
IB문의건수_CA_R6M,0.000896458,Eta²,
IB문의건수_한도_R6M,0.000615924,Eta²,
IB문의건수_CL_RV_R6M,0.000307101,Eta²,
IB문의건수_CS_R6M,0.000260309,Eta²,
방문횟수_모바일웹_R6M,0.005992286,Eta²,
IB문의건수_CS_B0M,0.000209826,Eta²,
IB문의건수_결제일변경_R6M,0.000151519,Eta²,
IB문의건수_SMS_R6M,0.000119417,Eta²,
IB문의건수_할부_R6M,0.0000564 ,Eta²,
IB문의건수_CL_RV_B0M,0.0000477 ,Eta²,
IB문의건수_포인트_R6M,0.0000445 ,Eta²,
IB문의건수_비밀번호_R6M,0.0000427 ,Eta²,
방문일수_모바일웹_B0M,0.0000264 ,Eta²,
방문횟수_모바일웹_B0M,0.0000245 ,Eta²,
IB문의건수_부대서비스_R6M,0.0000106 ,Eta²,
IB문의건수_카드발급_B0M,0.0000031 ,Eta²,
IB문의건수_BL_R6M,0.0002481,Eta²,
IB문의건수_사용승인내역_B0M,0.00023151,Eta²,
방문후경과월_PC_R6M,0.034724957,Eta²,
인입횟수_IB_B0M,0.008322379,Eta²,
홈페이지_금융건수_R6M,0.032986545,Eta²,
인입일수_ARS_R6M,0.032410502,Eta²,
불만제기후경과월_R12M,0.032099909,Eta²,
인입월수_ARS_R6M,0.030940044,Eta²,
방문후경과월_앱_R6M,0.028201392,Eta²,
인입월수_IB_R6M,0.027329985,Eta²,
인입일수_IB_R6M,0.02718173,Eta²,
방문월수_PC_R6M,0.02713012,Eta²,
방문월수_앱_R6M,0.02674407,Eta²,
홈페이지_금융건수_R3M,0.026722625,Eta²,
인입횟수_IB_R6M,0.025752999,Eta²,
상담건수_R6M,0.025723824,Eta²,
방문횟수_앱_B0M,0.024693067,Eta²,
홈페이지_선결제건수_R6M,0.024585069,Eta²,
인입일수_IB_B0M,0.007846566,Eta²,
방문일수_앱_B0M,0.024399002,Eta²,
방문일수_앱_R6M,0.023611039,Eta²,
홈페이지_선결제건수_R3M,0.02299674,Eta²,
인입후경과월_IB_R6M,0.022076255,Eta²,
방문일수_PC_B0M,0.020572202,Eta²,
방문횟수_PC_B0M,0.020002236,Eta²,
당사멤버쉽_방문월수_R6M,0.018551309,Eta²,
인입일수_ARS_B0M,0.016077767,Eta²,
IB문의건수_사용승인내역_R6M,0.014936289,Eta²,
IB문의건수_선결제_R6M,0.013516761,Eta²,
인입횟수_ARS_B0M,0.01304063,Eta²,
이용메뉴건수_ARS_B0M,0.012913842,Eta²,
당사멤버쉽_방문횟수_R6M,0.010355084,Eta²,
당사멤버쉽_방문횟수_B0M,0.009405165,Eta²,
상담건수_B0M,0.008324077,Eta²,
이용메뉴건수_IB_R6M,0.024331784,Eta²,
이용메뉴건수_IB_B0M,0.007698797,Eta²,
