ID,Segment
TEST_00002,notAB
TEST_00010,notAB
TEST_00012,notAB
TEST_00016,notAB
TEST_00032,notAB
TEST_00034,notAB
TEST_00037,notAB
TEST_00039,notAB
TEST_00053,notAB
TEST_00055,notAB
TEST_00057,notAB
TEST_00058,notAB
TEST_00088,notAB
TEST_00099,notAB
TEST_00104,notAB
TEST_00118,notAB
TEST_00119,notAB
TEST_00123,notAB
TEST_00124,notAB
TEST_00128,notAB
TEST_00133,notAB
TEST_00136,notAB
TEST_00137,notAB
TEST_00141,notAB
TEST_00154,notAB
TEST_00161,notAB
TEST_00166,notAB
TEST_00169,notAB
TEST_00189,notAB
TEST_00194,notAB
TEST_00195,notAB
TEST_00196,notAB
TEST_00198,notAB
TEST_00203,notAB
TEST_00205,notAB
TEST_00209,notAB
TEST_00210,notAB
TEST_00218,notAB
TEST_00221,notAB
TEST_00229,notAB
TEST_00238,notAB
TEST_00239,notAB
TEST_00242,notAB
TEST_00243,notAB
TEST_00249,notAB
TEST_00250,notAB
TEST_00267,notAB
TEST_00271,notAB
TEST_00275,notAB
TEST_00276,notAB
TEST_00280,notAB
TEST_00282,notAB
TEST_00283,notAB
TEST_00293,notAB
TEST_00302,notAB
TEST_00304,notAB
TEST_00309,notAB
TEST_00310,notAB
TEST_00316,notAB
TEST_00328,notAB
TEST_00342,notAB
TEST_00343,notAB
TEST_00357,notAB
TEST_00380,notAB
TEST_00385,notAB
TEST_00393,notAB
TEST_00395,notAB
TEST_00398,notAB
TEST_00404,notAB
TEST_00405,notAB
TEST_00411,notAB
TEST_00416,notAB
TEST_00420,notAB
TEST_00424,notAB
TEST_00427,notAB
TEST_00431,notAB
TEST_00439,notAB
TEST_00441,notAB
TEST_00443,notAB
TEST_00448,notAB
TEST_00456,notAB
TEST_00457,notAB
TEST_00460,notAB
TEST_00463,notAB
TEST_00467,notAB
TEST_00470,notAB
TEST_00471,notAB
TEST_00474,notAB
TEST_00481,notAB
TEST_00488,notAB
TEST_00492,notAB
TEST_00496,notAB
TEST_00500,notAB
TEST_00506,notAB
TEST_00510,notAB
TEST_00512,notAB
TEST_00517,notAB
TEST_00522,notAB
TEST_00541,notAB
TEST_00546,notAB
TEST_00547,notAB
TEST_00550,notAB
TEST_00553,notAB
TEST_00558,notAB
TEST_00562,notAB
TEST_00578,notAB
TEST_00579,notAB
TEST_00594,notAB
TEST_00626,notAB
TEST_00627,notAB
TEST_00630,notAB
TEST_00631,notAB
TEST_00656,notAB
TEST_00659,notAB
TEST_00661,notAB
TEST_00662,notAB
TEST_00663,notAB
TEST_00664,notAB
TEST_00667,notAB
TEST_00676,notAB
TEST_00692,notAB
TEST_00700,notAB
TEST_00701,notAB
TEST_00702,notAB
TEST_00703,notAB
TEST_00709,notAB
TEST_00713,notAB
TEST_00715,notAB
TEST_00737,notAB
TEST_00738,notAB
TEST_00746,notAB
TEST_00751,notAB
TEST_00777,notAB
TEST_00795,notAB
TEST_00809,notAB
TEST_00814,notAB
TEST_00828,notAB
TEST_00833,notAB
TEST_00836,notAB
TEST_00838,notAB
TEST_00847,notAB
TEST_00849,notAB
TEST_00850,notAB
TEST_00859,notAB
TEST_00864,notAB
TEST_00905,notAB
TEST_00906,notAB
TEST_00920,notAB
TEST_00929,notAB
TEST_00931,notAB
TEST_00951,notAB
TEST_00954,notAB
TEST_00964,notAB
TEST_00966,notAB
TEST_00976,notAB
TEST_00979,notAB
TEST_00980,notAB
TEST_00988,notAB
TEST_00989,notAB
TEST_00990,notAB
TEST_00992,notAB
TEST_00993,notAB
TEST_00995,notAB
TEST_00996,notAB
TEST_00999,notAB
TEST_01021,notAB
TEST_01022,notAB
TEST_01029,notAB
TEST_01038,notAB
TEST_01040,notAB
TEST_01043,notAB
TEST_01050,notAB
TEST_01053,notAB
TEST_01056,notAB
TEST_01064,notAB
TEST_01066,notAB
TEST_01067,notAB
TEST_01082,notAB
TEST_01091,notAB
TEST_01096,notAB
TEST_01099,notAB
TEST_01114,notAB
TEST_01122,notAB
TEST_01152,notAB
TEST_01167,notAB
TEST_01172,notAB
TEST_01173,notAB
TEST_01180,notAB
TEST_01183,notAB
TEST_01194,notAB
TEST_01196,notAB
TEST_01197,notAB
TEST_01201,notAB
TEST_01203,notAB
TEST_01207,notAB
