ID,Segment
TEST_00002,Not_E
TEST_00010,Not_E
TEST_00012,Not_E
TEST_00016,Not_E
TEST_00032,Not_E
TEST_00034,Not_E
TEST_00037,Not_E
TEST_00039,Not_E
TEST_00053,Not_E
TEST_00055,Not_E
TEST_00057,Not_E
TEST_00058,Not_E
TEST_00088,Not_E
TEST_00099,Not_E
TEST_00104,Not_E
TEST_00118,Not_E
TEST_00119,Not_E
TEST_00123,Not_E
TEST_00124,Not_E
TEST_00128,Not_E
TEST_00133,Not_E
TEST_00136,Not_E
TEST_00137,Not_E
TEST_00141,Not_E
TEST_00154,Not_E
TEST_00161,Not_E
TEST_00166,Not_E
TEST_00169,Not_E
TEST_00189,Not_E
TEST_00194,Not_E
TEST_00195,Not_E
TEST_00196,Not_E
TEST_00198,Not_E
TEST_00203,Not_E
TEST_00205,Not_E
TEST_00209,Not_E
TEST_00210,Not_E
TEST_00218,Not_E
TEST_00221,Not_E
TEST_00229,Not_E
TEST_00238,Not_E
TEST_00239,Not_E
TEST_00242,Not_E
TEST_00243,Not_E
TEST_00249,Not_E
TEST_00250,Not_E
TEST_00267,Not_E
TEST_00271,Not_E
TEST_00275,Not_E
TEST_00276,Not_E
TEST_00280,Not_E
TEST_00282,Not_E
TEST_00283,Not_E
TEST_00293,Not_E
TEST_00302,Not_E
TEST_00304,Not_E
TEST_00309,Not_E
TEST_00310,Not_E
TEST_00316,Not_E
TEST_00328,Not_E
TEST_00342,Not_E
TEST_00343,Not_E
TEST_00357,Not_E
TEST_00380,Not_E
TEST_00385,Not_E
TEST_00393,Not_E
TEST_00395,Not_E
TEST_00398,Not_E
TEST_00404,Not_E
TEST_00405,Not_E
TEST_00411,Not_E
TEST_00416,Not_E
TEST_00420,Not_E
TEST_00424,Not_E
TEST_00427,Not_E
TEST_00431,Not_E
TEST_00439,Not_E
TEST_00441,Not_E
TEST_00443,Not_E
TEST_00448,Not_E
TEST_00456,Not_E
TEST_00457,Not_E
TEST_00460,Not_E
TEST_00463,Not_E
TEST_00467,Not_E
TEST_00470,Not_E
TEST_00471,Not_E
TEST_00474,Not_E
TEST_00481,Not_E
TEST_00488,Not_E
TEST_00492,Not_E
TEST_00496,Not_E
TEST_00500,Not_E
TEST_00506,Not_E
TEST_00510,Not_E
TEST_00512,Not_E
TEST_00517,Not_E
TEST_00522,Not_E
TEST_00541,Not_E
TEST_00546,Not_E
TEST_00547,Not_E
TEST_00550,Not_E
TEST_00553,Not_E
TEST_00558,Not_E
TEST_00562,Not_E
TEST_00578,Not_E
TEST_00579,Not_E
TEST_00594,Not_E
TEST_00626,Not_E
TEST_00627,Not_E
TEST_00630,Not_E
TEST_00631,Not_E
TEST_00656,Not_E
TEST_00659,Not_E
TEST_00661,Not_E
TEST_00662,Not_E
TEST_00663,Not_E
TEST_00664,Not_E
TEST_00667,Not_E
TEST_00676,Not_E
TEST_00692,Not_E
TEST_00700,Not_E
TEST_00701,Not_E
TEST_00702,Not_E
TEST_00703,Not_E
TEST_00709,Not_E
TEST_00713,Not_E
TEST_00715,Not_E
TEST_00737,Not_E
TEST_00738,Not_E
TEST_00746,Not_E
TEST_00751,Not_E
TEST_00777,Not_E
TEST_00795,Not_E
TEST_00809,Not_E
TEST_00814,Not_E
TEST_00828,Not_E
TEST_00833,Not_E
TEST_00836,Not_E
TEST_00838,Not_E
TEST_00847,Not_E
TEST_00849,Not_E
TEST_00850,Not_E
TEST_00859,Not_E
TEST_00864,Not_E
TEST_00905,Not_E
TEST_00906,Not_E
TEST_00920,Not_E
TEST_00929,Not_E
TEST_00931,Not_E
TEST_00951,Not_E
TEST_00954,Not_E
TEST_00964,Not_E
TEST_00966,Not_E
TEST_00976,Not_E
TEST_00979,Not_E
TEST_00980,Not_E
TEST_00988,Not_E
TEST_00989,Not_E
TEST_00990,Not_E
TEST_00992,Not_E
TEST_00993,Not_E
TEST_00995,Not_E
TEST_00996,Not_E
TEST_00999,Not_E
TEST_01021,Not_E
TEST_01022,Not_E
TEST_01029,Not_E
TEST_01038,Not_E
TEST_01040,Not_E
TEST_01043,Not_E
TEST_01050,Not_E
TEST_01053,Not_E
TEST_01056,Not_E
TEST_01064,Not_E
TEST_01066,Not_E
TEST_01067,Not_E
TEST_01082,Not_E
TEST_01091,Not_E
TEST_01096,Not_E
TEST_01099,Not_E
TEST_01114,Not_E
TEST_01122,Not_E
TEST_01152,Not_E
TEST_01167,Not_E
TEST_01172,Not_E
TEST_01173,Not_E
TEST_01180,Not_E
TEST_01183,Not_E
TEST_01194,Not_E
TEST_01196,Not_E
TEST_01197,Not_E
TEST_01201,Not_E
TEST_01203,Not_E
TEST_01207,Not_E
TEST_01212,Not_E
TEST_01220,Not_E
TEST_01223,Not_E
TEST_01228,Not_E
TEST_01231,Not_E
TEST_01238,Not_E
TEST_01242,Not_E
TEST_01254,Not_E
TEST_01258,Not_E
TEST_01264,Not_E
TEST_01268,Not_E
TEST_01269,Not_E
TEST_01272,Not_E
TEST_01273,Not_E
TEST_01277,Not_E
TEST_01281,Not_E
TEST_01282,Not_E
TEST_01287,Not_E
TEST_01295,Not_E
TEST_01317,Not_E
TEST_01318,Not_E
TEST_01319,Not_E
TEST_01332,Not_E
TEST_01339,Not_E
TEST_01341,Not_E
TEST_01346,Not_E
TEST_01350,Not_E
TEST_01364,Not_E
TEST_01369,Not_E
TEST_01375,Not_E
TEST_01388,Not_E
TEST_01395,Not_E
TEST_01396,Not_E
TEST_01405,Not_E
TEST_01414,Not_E
TEST_01421,Not_E
TEST_01422,Not_E
TEST_01428,Not_E
TEST_01430,Not_E
TEST_01433,Not_E
TEST_01435,Not_E
TEST_01445,Not_E
TEST_01456,Not_E
TEST_01459,Not_E
TEST_01462,Not_E
TEST_01464,Not_E
TEST_01485,Not_E
TEST_01486,Not_E
TEST_01492,Not_E
TEST_01501,Not_E
TEST_01504,Not_E
TEST_01519,Not_E
TEST_01523,Not_E
TEST_01527,Not_E
TEST_01535,Not_E
TEST_01545,Not_E
TEST_01550,Not_E
TEST_01554,Not_E
TEST_01570,Not_E
TEST_01575,Not_E
TEST_01584,Not_E
TEST_01591,Not_E
TEST_01600,Not_E
TEST_01602,Not_E
TEST_01616,Not_E
TEST_01618,Not_E
TEST_01620,Not_E
TEST_01625,Not_E
TEST_01635,Not_E
TEST_01642,Not_E
TEST_01646,Not_E
TEST_01649,Not_E
TEST_01659,Not_E
TEST_01662,Not_E
TEST_01680,Not_E
TEST_01683,Not_E
TEST_01686,Not_E
TEST_01693,Not_E
TEST_01705,Not_E
TEST_01711,Not_E
TEST_01717,Not_E
TEST_01718,Not_E
