ID,Segment
TEST_00002,D
TEST_00010,C
TEST_00012,D
TEST_00016,D
TEST_00032,D
TEST_00034,D
TEST_00037,D
TEST_00039,D
TEST_00053,C
TEST_00055,D
TEST_00057,D
TEST_00058,D
TEST_00088,D
TEST_00099,D
TEST_00104,C
TEST_00118,C
TEST_00119,D
TEST_00123,D
TEST_00124,D
TEST_00128,D
TEST_00133,D
TEST_00136,C
TEST_00137,C
TEST_00141,D
TEST_00154,D
TEST_00161,D
TEST_00166,D
TEST_00169,D
TEST_00189,D
TEST_00194,D
TEST_00195,C
TEST_00196,C
TEST_00198,D
TEST_00203,D
TEST_00205,D
TEST_00209,D
TEST_00210,C
TEST_00218,D
TEST_00221,D
TEST_00229,C
TEST_00238,C
TEST_00239,D
TEST_00242,D
TEST_00243,D
TEST_00249,D
TEST_00250,D
TEST_00267,D
TEST_00271,D
TEST_00275,D
TEST_00276,C
TEST_00280,D
TEST_00282,D
TEST_00283,D
TEST_00293,D
TEST_00302,D
TEST_00304,D
TEST_00309,D
TEST_00310,D
TEST_00316,D
TEST_00328,D
TEST_00342,C
TEST_00343,D
TEST_00357,D
TEST_00380,D
TEST_00385,D
TEST_00393,D
TEST_00395,C
TEST_00398,D
TEST_00404,D
TEST_00405,D
TEST_00411,D
TEST_00416,D
TEST_00420,D
TEST_00424,C
TEST_00427,D
TEST_00431,C
TEST_00439,D
TEST_00441,D
TEST_00443,C
TEST_00448,D
TEST_00456,D
TEST_00457,D
TEST_00460,D
TEST_00463,D
TEST_00467,C
TEST_00470,D
TEST_00471,D
TEST_00474,D
TEST_00481,D
TEST_00488,C
TEST_00492,D
TEST_00496,D
TEST_00500,C
TEST_00506,C
TEST_00510,C
TEST_00512,D
TEST_00517,D
TEST_00522,D
TEST_00541,D
TEST_00546,D
TEST_00547,D
TEST_00550,D
TEST_00553,D
TEST_00558,C
TEST_00562,D
TEST_00578,D
TEST_00579,D
TEST_00594,D
TEST_00626,C
TEST_00627,D
TEST_00630,D
TEST_00631,C
TEST_00656,C
TEST_00659,C
TEST_00661,D
TEST_00662,D
TEST_00663,D
TEST_00664,D
TEST_00667,D
TEST_00676,C
TEST_00692,D
TEST_00700,C
TEST_00701,C
TEST_00702,D
TEST_00703,C
TEST_00709,C
TEST_00713,D
TEST_00715,C
TEST_00737,D
TEST_00738,D
TEST_00746,D
TEST_00751,C
TEST_00777,D
TEST_00795,C
TEST_00809,C
TEST_00814,D
TEST_00828,C
TEST_00833,C
TEST_00836,D
TEST_00838,D
TEST_00847,D
TEST_00849,C
TEST_00850,D
TEST_00859,C
TEST_00864,D
TEST_00905,D
TEST_00906,D
TEST_00920,C
TEST_00929,D
TEST_00931,D
TEST_00951,D
TEST_00954,C
TEST_00964,C
TEST_00966,C
TEST_00976,D
TEST_00979,D
TEST_00980,D
TEST_00988,D
TEST_00989,D
TEST_00990,C
TEST_00992,D
TEST_00993,C
TEST_00995,C
TEST_00996,D
TEST_00999,D
TEST_01021,C
TEST_01022,D
TEST_01029,D
TEST_01038,D
TEST_01040,D
TEST_01043,C
TEST_01050,D
TEST_01053,D
TEST_01056,C
TEST_01064,D
TEST_01066,D
TEST_01067,D
TEST_01082,C
TEST_01091,C
TEST_01096,C
TEST_01099,C
TEST_01114,D
TEST_01122,D
TEST_01152,D
TEST_01167,D
TEST_01172,C
TEST_01173,D
TEST_01180,D
TEST_01183,D
TEST_01194,C
TEST_01196,D
TEST_01197,D
TEST_01201,D
TEST_01203,D
TEST_01207,D
TEST_01212,D
TEST_01220,C
TEST_01223,C
TEST_01228,D
TEST_01231,D
TEST_01238,D
TEST_01242,C
TEST_01254,C
TEST_01258,D
TEST_01264,C
TEST_01268,C
TEST_01269,D
TEST_01272,C
TEST_01273,D
TEST_01277,C
TEST_01281,D
TEST_01282,C
TEST_01287,D
TEST_01295,C
TEST_01317,D
TEST_01318,D
TEST_01319,C
TEST_01332,D
TEST_01339,C
TEST_01341,C
TEST_01346,D
TEST_01350,D
TEST_01364,D
TEST_01369,D
TEST_01375,C
TEST_01388,C
TEST_01395,D
TEST_01396,D
TEST_01405,D
TEST_01414,D
TEST_01421,D
TEST_01422,D
TEST_01428,D
TEST_01430,C
TEST_01433,C
TEST_01435,D
TEST_01445,D
TEST_01456,C
TEST_01459,D
TEST_01462,D
TEST_01464,D
TEST_01485,C
TEST_01486,C
TEST_01492,C
TEST_01501,C
TEST_01504,D
TEST_01519,C
TEST_01523,D
TEST_01527,D
TEST_01535,D
TEST_01545,D
TEST_01550,D
TEST_01554,D
TEST_01570,D
TEST_01575,D
TEST_01584,D
TEST_01591,D
TEST_01600,D
TEST_01602,C
TEST_01616,D
TEST_01618,D
TEST_01620,D
TEST_01625,C
TEST_01635,D
TEST_01642,D
TEST_01646,C
TEST_01649,C
TEST_01659,D
TEST_01662,C
TEST_01680,D
TEST_01683,D
TEST_01686,D
TEST_01693,D
TEST_01705,D
TEST_01711,D
TEST_01717,D
TEST_01718,D
TEST_01734,C
TEST_01741,C
TEST_01748,D
TEST_01758,C
TEST_01772,D
TEST_01785,D
